constraint,mobility,capability,context,y
BEST_EFFORT,STATIONARY,LOW,FILE,1
DELAY,STATIONARY,LOW,FILE,2
RELIABILITY,STATIONARY,LOW,FILE,2
BEST_EFFORT,STATIONARY,MEDIUM,FILE,1
DELAY,STATIONARY,MEDIUM,FILE,2
RELIABILITY,STATIONARY,MEDIUM,FILE,2
BEST_EFFORT,STATIONARY,HIGH,FILE,3
DELAY,STATIONARY,HIGH,FILE,3
RELIABILITY,STATIONARY,HIGH,FILE,2
BEST_EFFORT,MOBILE,LOW,FILE,2
DELAY,MOBILE,LOW,FILE,2
RELIABILITY,MOBILE,LOW,FILE,4
BEST_EFFORT,MOBILE,MEDIUM,FILE,4
DELAY,MOBILE,MEDIUM,FILE,2
RELIABILITY,MOBILE,MEDIUM,FILE,4
BEST_EFFORT,MOBILE,HIGH,FILE,4
DELAY,MOBILE,HIGH,FILE,4
RELIABILITY,MOBILE,HIGH,FILE,4
BEST_EFFORT,STATIONARY,LOW,AUDIO,1
DELAY,STATIONARY,LOW,AUDIO,2
RELIABILITY,STATIONARY,LOW,AUDIO,1
BEST_EFFORT,STATIONARY,MEDIUM,AUDIO,3
DELAY,STATIONARY,MEDIUM,AUDIO,2
RELIABILITY,STATIONARY,MEDIUM,AUDIO,2
BEST_EFFORT,STATIONARY,HIGH,AUDIO,2
DELAY,STATIONARY,HIGH,AUDIO,2
RELIABILITY,STATIONARY,HIGH,AUDIO,2
BEST_EFFORT,MOBILE,LOW,AUDIO,1
DELAY,MOBILE,LOW,AUDIO,4
RELIABILITY,MOBILE,LOW,AUDIO,1
BEST_EFFORT,MOBILE,MEDIUM,AUDIO,2
DELAY,MOBILE,MEDIUM,AUDIO,1
RELIABILITY,MOBILE,MEDIUM,AUDIO,4
BEST_EFFORT,MOBILE,HIGH,AUDIO,4
DELAY,MOBILE,HIGH,AUDIO,4
RELIABILITY,MOBILE,HIGH,AUDIO,4
BEST_EFFORT,STATIONARY,LOW,VIDEO,1
DELAY,STATIONARY,LOW,VIDEO,2
RELIABILITY,STATIONARY,LOW,VIDEO,2
BEST_EFFORT,STATIONARY,MEDIUM,VIDEO,2
DELAY,STATIONARY,MEDIUM,VIDEO,2
RELIABILITY,STATIONARY,MEDIUM,VIDEO,2
BEST_EFFORT,STATIONARY,HIGH,VIDEO,2
DELAY,STATIONARY,HIGH,VIDEO,3
RELIABILITY,STATIONARY,HIGH,VIDEO,3
BEST_EFFORT,MOBILE,LOW,VIDEO,4
DELAY,MOBILE,LOW,VIDEO,4
RELIABILITY,MOBILE,LOW,VIDEO,4
BEST_EFFORT,MOBILE,MEDIUM,VIDEO,4
DELAY,MOBILE,MEDIUM,VIDEO,4
RELIABILITY,MOBILE,MEDIUM,VIDEO,4
BEST_EFFORT,MOBILE,HIGH,VIDEO,4
DELAY,MOBILE,HIGH,VIDEO,4
RELIABILITY,MOBILE,HIGH,VIDEO,4
BEST_EFFORT,STATIONARY,LOW,TEXT,4
DELAY,STATIONARY,LOW,TEXT,1
RELIABILITY,STATIONARY,LOW,TEXT,1
BEST_EFFORT,STATIONARY,MEDIUM,TEXT,1
DELAY,STATIONARY,MEDIUM,TEXT,2
RELIABILITY,STATIONARY,MEDIUM,TEXT,4
BEST_EFFORT,STATIONARY,HIGH,TEXT,1
DELAY,STATIONARY,HIGH,TEXT,1
RELIABILITY,STATIONARY,HIGH,TEXT,1
BEST_EFFORT,MOBILE,LOW,TEXT,1
DELAY,MOBILE,LOW,TEXT,2
RELIABILITY,MOBILE,LOW,TEXT,2
BEST_EFFORT,MOBILE,MEDIUM,TEXT,1
DELAY,MOBILE,MEDIUM,TEXT,1
RELIABILITY,MOBILE,MEDIUM,TEXT,1
BEST_EFFORT,MOBILE,HIGH,TEXT,1
DELAY,MOBILE,HIGH,TEXT,1
RELIABILITY,MOBILE,HIGH,TEXT,4
BEST_EFFORT,STATIONARY,LOW,FILE,1
DELAY,STATIONARY,LOW,FILE,1
RELIABILITY,STATIONARY,LOW,FILE,3
BEST_EFFORT,STATIONARY,MEDIUM,FILE,2
DELAY,STATIONARY,MEDIUM,FILE,2
RELIABILITY,STATIONARY,MEDIUM,FILE,3
BEST_EFFORT,STATIONARY,HIGH,FILE,3
DELAY,STATIONARY,HIGH,FILE,3
RELIABILITY,STATIONARY,HIGH,FILE,2
BEST_EFFORT,MOBILE,LOW,FILE,2
DELAY,MOBILE,LOW,FILE,2
RELIABILITY,MOBILE,LOW,FILE,2
BEST_EFFORT,MOBILE,MEDIUM,FILE,2
DELAY,MOBILE,MEDIUM,FILE,4
RELIABILITY,MOBILE,MEDIUM,FILE,4
BEST_EFFORT,MOBILE,HIGH,FILE,2
DELAY,MOBILE,HIGH,FILE,4
RELIABILITY,MOBILE,HIGH,FILE,4
BEST_EFFORT,STATIONARY,LOW,AUDIO,1
DELAY,STATIONARY,LOW,AUDIO,2
RELIABILITY,STATIONARY,LOW,AUDIO,3
BEST_EFFORT,STATIONARY,MEDIUM,AUDIO,1
DELAY,STATIONARY,MEDIUM,AUDIO,2
RELIABILITY,STATIONARY,MEDIUM,AUDIO,3
BEST_EFFORT,STATIONARY,HIGH,AUDIO,2
DELAY,STATIONARY,HIGH,AUDIO,3
RELIABILITY,STATIONARY,HIGH,AUDIO,2
BEST_EFFORT,MOBILE,LOW,AUDIO,2
DELAY,MOBILE,LOW,AUDIO,4
RELIABILITY,MOBILE,LOW,AUDIO,4
BEST_EFFORT,MOBILE,MEDIUM,AUDIO,2
DELAY,MOBILE,MEDIUM,AUDIO,2
RELIABILITY,MOBILE,MEDIUM,AUDIO,4
BEST_EFFORT,MOBILE,HIGH,AUDIO,4
DELAY,MOBILE,HIGH,AUDIO,4
RELIABILITY,MOBILE,HIGH,AUDIO,4
BEST_EFFORT,STATIONARY,LOW,VIDEO,3
DELAY,STATIONARY,LOW,VIDEO,3
RELIABILITY,STATIONARY,LOW,VIDEO,3
BEST_EFFORT,STATIONARY,MEDIUM,VIDEO,1
DELAY,STATIONARY,MEDIUM,VIDEO,3
RELIABILITY,STATIONARY,MEDIUM,VIDEO,3
BEST_EFFORT,STATIONARY,HIGH,VIDEO,3
DELAY,STATIONARY,HIGH,VIDEO,3
RELIABILITY,STATIONARY,HIGH,VIDEO,3
BEST_EFFORT,MOBILE,LOW,VIDEO,4
DELAY,MOBILE,LOW,VIDEO,2
RELIABILITY,MOBILE,LOW,VIDEO,4
BEST_EFFORT,MOBILE,MEDIUM,VIDEO,4
DELAY,MOBILE,MEDIUM,VIDEO,4
RELIABILITY,MOBILE,MEDIUM,VIDEO,4
BEST_EFFORT,MOBILE,HIGH,VIDEO,4
DELAY,MOBILE,HIGH,VIDEO,4
RELIABILITY,MOBILE,HIGH,VIDEO,4
BEST_EFFORT,STATIONARY,LOW,TEXT,4
DELAY,STATIONARY,LOW,TEXT,1
RELIABILITY,STATIONARY,LOW,TEXT,3
BEST_EFFORT,STATIONARY,MEDIUM,TEXT,1
DELAY,STATIONARY,MEDIUM,TEXT,1
RELIABILITY,STATIONARY,MEDIUM,TEXT,1
BEST_EFFORT,STATIONARY,HIGH,TEXT,2
DELAY,STATIONARY,HIGH,TEXT,1
RELIABILITY,STATIONARY,HIGH,TEXT,1
BEST_EFFORT,MOBILE,LOW,TEXT,1
DELAY,MOBILE,LOW,TEXT,1
RELIABILITY,MOBILE,LOW,TEXT,1
BEST_EFFORT,MOBILE,MEDIUM,TEXT,1
DELAY,MOBILE,MEDIUM,TEXT,4
RELIABILITY,MOBILE,MEDIUM,TEXT,4
BEST_EFFORT,MOBILE,HIGH,TEXT,4
DELAY,MOBILE,HIGH,TEXT,1
RELIABILITY,MOBILE,HIGH,TEXT,4
BEST_EFFORT,STATIONARY,LOW,FILE,1
DELAY,STATIONARY,LOW,FILE,2
RELIABILITY,STATIONARY,LOW,FILE,2
BEST_EFFORT,STATIONARY,MEDIUM,FILE,2
DELAY,STATIONARY,MEDIUM,FILE,3
RELIABILITY,STATIONARY,MEDIUM,FILE,3
BEST_EFFORT,STATIONARY,HIGH,FILE,3
DELAY,STATIONARY,HIGH,FILE,3
RELIABILITY,STATIONARY,HIGH,FILE,3
BEST_EFFORT,MOBILE,LOW,FILE,4
DELAY,MOBILE,LOW,FILE,2
RELIABILITY,MOBILE,LOW,FILE,4
BEST_EFFORT,MOBILE,MEDIUM,FILE,2
DELAY,MOBILE,MEDIUM,FILE,4
RELIABILITY,MOBILE,MEDIUM,FILE,4
BEST_EFFORT,MOBILE,HIGH,FILE,4
DELAY,MOBILE,HIGH,FILE,4
RELIABILITY,MOBILE,HIGH,FILE,4
BEST_EFFORT,STATIONARY,LOW,AUDIO,2
DELAY,STATIONARY,LOW,AUDIO,2
RELIABILITY,STATIONARY,LOW,AUDIO,2
BEST_EFFORT,STATIONARY,MEDIUM,AUDIO,2
DELAY,STATIONARY,MEDIUM,AUDIO,2
RELIABILITY,STATIONARY,MEDIUM,AUDIO,2
BEST_EFFORT,STATIONARY,HIGH,AUDIO,3
DELAY,STATIONARY,HIGH,AUDIO,2
RELIABILITY,STATIONARY,HIGH,AUDIO,3
BEST_EFFORT,MOBILE,LOW,AUDIO,4
DELAY,MOBILE,LOW,AUDIO,4
RELIABILITY,MOBILE,LOW,AUDIO,4
BEST_EFFORT,MOBILE,MEDIUM,AUDIO,4
DELAY,MOBILE,MEDIUM,AUDIO,4
RELIABILITY,MOBILE,MEDIUM,AUDIO,4
BEST_EFFORT,MOBILE,HIGH,AUDIO,1
DELAY,MOBILE,HIGH,AUDIO,4
RELIABILITY,MOBILE,HIGH,AUDIO,4
BEST_EFFORT,STATIONARY,LOW,VIDEO,2
DELAY,STATIONARY,LOW,VIDEO,2
RELIABILITY,STATIONARY,LOW,VIDEO,2
BEST_EFFORT,STATIONARY,MEDIUM,VIDEO,2
DELAY,STATIONARY,MEDIUM,VIDEO,3
RELIABILITY,STATIONARY,MEDIUM,VIDEO,2
BEST_EFFORT,STATIONARY,HIGH,VIDEO,2
DELAY,STATIONARY,HIGH,VIDEO,3
RELIABILITY,STATIONARY,HIGH,VIDEO,3
BEST_EFFORT,MOBILE,LOW,VIDEO,4
DELAY,MOBILE,LOW,VIDEO,4
RELIABILITY,MOBILE,LOW,VIDEO,4
BEST_EFFORT,MOBILE,MEDIUM,VIDEO,4
DELAY,MOBILE,MEDIUM,VIDEO,4
RELIABILITY,MOBILE,MEDIUM,VIDEO,4
BEST_EFFORT,MOBILE,HIGH,VIDEO,4
DELAY,MOBILE,HIGH,VIDEO,4
RELIABILITY,MOBILE,HIGH,VIDEO,4
BEST_EFFORT,STATIONARY,LOW,TEXT,3
DELAY,STATIONARY,LOW,TEXT,1
RELIABILITY,STATIONARY,LOW,TEXT,1
BEST_EFFORT,STATIONARY,MEDIUM,TEXT,1
DELAY,STATIONARY,MEDIUM,TEXT,4
RELIABILITY,STATIONARY,MEDIUM,TEXT,1
BEST_EFFORT,STATIONARY,HIGH,TEXT,2
DELAY,STATIONARY,HIGH,TEXT,1
RELIABILITY,STATIONARY,HIGH,TEXT,4
BEST_EFFORT,MOBILE,LOW,TEXT,1
DELAY,MOBILE,LOW,TEXT,1
RELIABILITY,MOBILE,LOW,TEXT,4
BEST_EFFORT,MOBILE,MEDIUM,TEXT,1
DELAY,MOBILE,MEDIUM,TEXT,1
RELIABILITY,MOBILE,MEDIUM,TEXT,2
BEST_EFFORT,MOBILE,HIGH,TEXT,4
DELAY,MOBILE,HIGH,TEXT,1
RELIABILITY,MOBILE,HIGH,TEXT,1
BEST_EFFORT,STATIONARY,LOW,FILE,3
DELAY,STATIONARY,LOW,FILE,2
RELIABILITY,STATIONARY,LOW,FILE,3
BEST_EFFORT,STATIONARY,MEDIUM,FILE,1
DELAY,STATIONARY,MEDIUM,FILE,3
RELIABILITY,STATIONARY,MEDIUM,FILE,3
BEST_EFFORT,STATIONARY,HIGH,FILE,3
DELAY,STATIONARY,HIGH,FILE,3
RELIABILITY,STATIONARY,HIGH,FILE,3
BEST_EFFORT,MOBILE,LOW,FILE,4
DELAY,MOBILE,LOW,FILE,2
RELIABILITY,MOBILE,LOW,FILE,4
BEST_EFFORT,MOBILE,MEDIUM,FILE,2
DELAY,MOBILE,MEDIUM,FILE,2
RELIABILITY,MOBILE,MEDIUM,FILE,4
BEST_EFFORT,MOBILE,HIGH,FILE,2
DELAY,MOBILE,HIGH,FILE,4
RELIABILITY,MOBILE,HIGH,FILE,4
BEST_EFFORT,STATIONARY,LOW,AUDIO,3
DELAY,STATIONARY,LOW,AUDIO,1
RELIABILITY,STATIONARY,LOW,AUDIO,2
BEST_EFFORT,STATIONARY,MEDIUM,AUDIO,2
DELAY,STATIONARY,MEDIUM,AUDIO,2
RELIABILITY,STATIONARY,MEDIUM,AUDIO,3
BEST_EFFORT,STATIONARY,HIGH,AUDIO,2
DELAY,STATIONARY,HIGH,AUDIO,2
RELIABILITY,STATIONARY,HIGH,AUDIO,2
BEST_EFFORT,MOBILE,LOW,AUDIO,4
DELAY,MOBILE,LOW,AUDIO,2
RELIABILITY,MOBILE,LOW,AUDIO,2
BEST_EFFORT,MOBILE,MEDIUM,AUDIO,4
DELAY,MOBILE,MEDIUM,AUDIO,4
RELIABILITY,MOBILE,MEDIUM,AUDIO,4
BEST_EFFORT,MOBILE,HIGH,AUDIO,4
DELAY,MOBILE,HIGH,AUDIO,4
RELIABILITY,MOBILE,HIGH,AUDIO,4
BEST_EFFORT,STATIONARY,LOW,VIDEO,2
DELAY,STATIONARY,LOW,VIDEO,2
RELIABILITY,STATIONARY,LOW,VIDEO,3
BEST_EFFORT,STATIONARY,MEDIUM,VIDEO,2
DELAY,STATIONARY,MEDIUM,VIDEO,2
RELIABILITY,STATIONARY,MEDIUM,VIDEO,3
BEST_EFFORT,STATIONARY,HIGH,VIDEO,3
DELAY,STATIONARY,HIGH,VIDEO,2
RELIABILITY,STATIONARY,HIGH,VIDEO,3
BEST_EFFORT,MOBILE,LOW,VIDEO,2
DELAY,MOBILE,LOW,VIDEO,4
RELIABILITY,MOBILE,LOW,VIDEO,2
BEST_EFFORT,MOBILE,MEDIUM,VIDEO,2
DELAY,MOBILE,MEDIUM,VIDEO,4
RELIABILITY,MOBILE,MEDIUM,VIDEO,4
BEST_EFFORT,MOBILE,HIGH,VIDEO,4
DELAY,MOBILE,HIGH,VIDEO,4
RELIABILITY,MOBILE,HIGH,VIDEO,4
BEST_EFFORT,STATIONARY,LOW,TEXT,1
DELAY,STATIONARY,LOW,TEXT,1
RELIABILITY,STATIONARY,LOW,TEXT,4
BEST_EFFORT,STATIONARY,MEDIUM,TEXT,1
DELAY,STATIONARY,MEDIUM,TEXT,2
RELIABILITY,STATIONARY,MEDIUM,TEXT,1
BEST_EFFORT,STATIONARY,HIGH,TEXT,1
DELAY,STATIONARY,HIGH,TEXT,1
RELIABILITY,STATIONARY,HIGH,TEXT,1
BEST_EFFORT,MOBILE,LOW,TEXT,4
DELAY,MOBILE,LOW,TEXT,1
RELIABILITY,MOBILE,LOW,TEXT,1
BEST_EFFORT,MOBILE,MEDIUM,TEXT,1
DELAY,MOBILE,MEDIUM,TEXT,1
RELIABILITY,MOBILE,MEDIUM,TEXT,1
BEST_EFFORT,MOBILE,HIGH,TEXT,2
DELAY,MOBILE,HIGH,TEXT,1
RELIABILITY,MOBILE,HIGH,TEXT,4
BEST_EFFORT,STATIONARY,LOW,FILE,2
DELAY,STATIONARY,LOW,FILE,1
RELIABILITY,STATIONARY,LOW,FILE,3
BEST_EFFORT,STATIONARY,MEDIUM,FILE,1
DELAY,STATIONARY,MEDIUM,FILE,2
RELIABILITY,STATIONARY,MEDIUM,FILE,3
BEST_EFFORT,STATIONARY,HIGH,FILE,2
DELAY,STATIONARY,HIGH,FILE,2
RELIABILITY,STATIONARY,HIGH,FILE,2
BEST_EFFORT,MOBILE,LOW,FILE,1
DELAY,MOBILE,LOW,FILE,2
RELIABILITY,MOBILE,LOW,FILE,4
BEST_EFFORT,MOBILE,MEDIUM,FILE,4
DELAY,MOBILE,MEDIUM,FILE,4
RELIABILITY,MOBILE,MEDIUM,FILE,2
BEST_EFFORT,MOBILE,HIGH,FILE,4
DELAY,MOBILE,HIGH,FILE,4
RELIABILITY,MOBILE,HIGH,FILE,4
BEST_EFFORT,STATIONARY,LOW,AUDIO,2
DELAY,STATIONARY,LOW,AUDIO,2
RELIABILITY,STATIONARY,LOW,AUDIO,2
BEST_EFFORT,STATIONARY,MEDIUM,AUDIO,2
DELAY,STATIONARY,MEDIUM,AUDIO,3
RELIABILITY,STATIONARY,MEDIUM,AUDIO,3
BEST_EFFORT,STATIONARY,HIGH,AUDIO,3
DELAY,STATIONARY,HIGH,AUDIO,2
RELIABILITY,STATIONARY,HIGH,AUDIO,2
BEST_EFFORT,MOBILE,LOW,AUDIO,4
DELAY,MOBILE,LOW,AUDIO,1
RELIABILITY,MOBILE,LOW,AUDIO,4
BEST_EFFORT,MOBILE,MEDIUM,AUDIO,2
DELAY,MOBILE,MEDIUM,AUDIO,2
RELIABILITY,MOBILE,MEDIUM,AUDIO,4
BEST_EFFORT,MOBILE,HIGH,AUDIO,4
DELAY,MOBILE,HIGH,AUDIO,4
RELIABILITY,MOBILE,HIGH,AUDIO,1
BEST_EFFORT,STATIONARY,LOW,VIDEO,3
DELAY,STATIONARY,LOW,VIDEO,2
RELIABILITY,STATIONARY,LOW,VIDEO,3
BEST_EFFORT,STATIONARY,MEDIUM,VIDEO,2
DELAY,STATIONARY,MEDIUM,VIDEO,2
RELIABILITY,STATIONARY,MEDIUM,VIDEO,3
BEST_EFFORT,STATIONARY,HIGH,VIDEO,3
DELAY,STATIONARY,HIGH,VIDEO,3
RELIABILITY,STATIONARY,HIGH,VIDEO,2
BEST_EFFORT,MOBILE,LOW,VIDEO,2
DELAY,MOBILE,LOW,VIDEO,2
RELIABILITY,MOBILE,LOW,VIDEO,4
BEST_EFFORT,MOBILE,MEDIUM,VIDEO,2
DELAY,MOBILE,MEDIUM,VIDEO,4
RELIABILITY,MOBILE,MEDIUM,VIDEO,4
BEST_EFFORT,MOBILE,HIGH,VIDEO,4
DELAY,MOBILE,HIGH,VIDEO,4
RELIABILITY,MOBILE,HIGH,VIDEO,4
BEST_EFFORT,STATIONARY,LOW,TEXT,1
DELAY,STATIONARY,LOW,TEXT,1
RELIABILITY,STATIONARY,LOW,TEXT,2
BEST_EFFORT,STATIONARY,MEDIUM,TEXT,4
DELAY,STATIONARY,MEDIUM,TEXT,1
RELIABILITY,STATIONARY,MEDIUM,TEXT,1
BEST_EFFORT,STATIONARY,HIGH,TEXT,2
DELAY,STATIONARY,HIGH,TEXT,1
RELIABILITY,STATIONARY,HIGH,TEXT,1
BEST_EFFORT,MOBILE,LOW,TEXT,1
DELAY,MOBILE,LOW,TEXT,1
RELIABILITY,MOBILE,LOW,TEXT,1
BEST_EFFORT,MOBILE,MEDIUM,TEXT,1
DELAY,MOBILE,MEDIUM,TEXT,2
RELIABILITY,MOBILE,MEDIUM,TEXT,2
BEST_EFFORT,MOBILE,HIGH,TEXT,4
DELAY,MOBILE,HIGH,TEXT,4
RELIABILITY,MOBILE,HIGH,TEXT,1
BEST_EFFORT,STATIONARY,LOW,FILE,2
DELAY,STATIONARY,LOW,FILE,2
RELIABILITY,STATIONARY,LOW,FILE,2
BEST_EFFORT,STATIONARY,MEDIUM,FILE,1
DELAY,STATIONARY,MEDIUM,FILE,1
RELIABILITY,STATIONARY,MEDIUM,FILE,2
BEST_EFFORT,STATIONARY,HIGH,FILE,2
DELAY,STATIONARY,HIGH,FILE,2
RELIABILITY,STATIONARY,HIGH,FILE,2
BEST_EFFORT,MOBILE,LOW,FILE,2
DELAY,MOBILE,LOW,FILE,4
RELIABILITY,MOBILE,LOW,FILE,2
BEST_EFFORT,MOBILE,MEDIUM,FILE,4
DELAY,MOBILE,MEDIUM,FILE,2
RELIABILITY,MOBILE,MEDIUM,FILE,2
BEST_EFFORT,MOBILE,HIGH,FILE,4
DELAY,MOBILE,HIGH,FILE,4
RELIABILITY,MOBILE,HIGH,FILE,4
BEST_EFFORT,STATIONARY,LOW,AUDIO,1
DELAY,STATIONARY,LOW,AUDIO,2
RELIABILITY,STATIONARY,LOW,AUDIO,3
BEST_EFFORT,STATIONARY,MEDIUM,AUDIO,1
DELAY,STATIONARY,MEDIUM,AUDIO,2
RELIABILITY,STATIONARY,MEDIUM,AUDIO,2
BEST_EFFORT,STATIONARY,HIGH,AUDIO,2
DELAY,STATIONARY,HIGH,AUDIO,2
RELIABILITY,STATIONARY,HIGH,AUDIO,2
BEST_EFFORT,MOBILE,LOW,AUDIO,1
DELAY,MOBILE,LOW,AUDIO,2
RELIABILITY,MOBILE,LOW,AUDIO,4
BEST_EFFORT,MOBILE,MEDIUM,AUDIO,4
DELAY,MOBILE,MEDIUM,AUDIO,4
RELIABILITY,MOBILE,MEDIUM,AUDIO,4
BEST_EFFORT,MOBILE,HIGH,AUDIO,4
DELAY,MOBILE,HIGH,AUDIO,4
RELIABILITY,MOBILE,HIGH,AUDIO,4
BEST_EFFORT,STATIONARY,LOW,VIDEO,3
DELAY,STATIONARY,LOW,VIDEO,2
RELIABILITY,STATIONARY,LOW,VIDEO,3
BEST_EFFORT,STATIONARY,MEDIUM,VIDEO,2
DELAY,STATIONARY,MEDIUM,VIDEO,2
RELIABILITY,STATIONARY,MEDIUM,VIDEO,2
BEST_EFFORT,STATIONARY,HIGH,VIDEO,2
DELAY,STATIONARY,HIGH,VIDEO,3
RELIABILITY,STATIONARY,HIGH,VIDEO,3
BEST_EFFORT,MOBILE,LOW,VIDEO,4
DELAY,MOBILE,LOW,VIDEO,4
RELIABILITY,MOBILE,LOW,VIDEO,4
BEST_EFFORT,MOBILE,MEDIUM,VIDEO,4
DELAY,MOBILE,MEDIUM,VIDEO,4
RELIABILITY,MOBILE,MEDIUM,VIDEO,4
BEST_EFFORT,MOBILE,HIGH,VIDEO,4
DELAY,MOBILE,HIGH,VIDEO,4
RELIABILITY,MOBILE,HIGH,VIDEO,4
BEST_EFFORT,STATIONARY,LOW,TEXT,1
DELAY,STATIONARY,LOW,TEXT,3
RELIABILITY,STATIONARY,LOW,TEXT,2
BEST_EFFORT,STATIONARY,MEDIUM,TEXT,1
DELAY,STATIONARY,MEDIUM,TEXT,1
RELIABILITY,STATIONARY,MEDIUM,TEXT,1
BEST_EFFORT,STATIONARY,HIGH,TEXT,1
DELAY,STATIONARY,HIGH,TEXT,1
RELIABILITY,STATIONARY,HIGH,TEXT,1
BEST_EFFORT,MOBILE,LOW,TEXT,1
DELAY,MOBILE,LOW,TEXT,1
RELIABILITY,MOBILE,LOW,TEXT,1
BEST_EFFORT,MOBILE,MEDIUM,TEXT,2
DELAY,MOBILE,MEDIUM,TEXT,1
RELIABILITY,MOBILE,MEDIUM,TEXT,2
BEST_EFFORT,MOBILE,HIGH,TEXT,1
DELAY,MOBILE,HIGH,TEXT,1
RELIABILITY,MOBILE,HIGH,TEXT,2
BEST_EFFORT,STATIONARY,LOW,FILE,1
DELAY,STATIONARY,LOW,FILE,1
RELIABILITY,STATIONARY,LOW,FILE,3
BEST_EFFORT,STATIONARY,MEDIUM,FILE,1
DELAY,STATIONARY,MEDIUM,FILE,3
RELIABILITY,STATIONARY,MEDIUM,FILE,3
BEST_EFFORT,STATIONARY,HIGH,FILE,2
DELAY,STATIONARY,HIGH,FILE,2
RELIABILITY,STATIONARY,HIGH,FILE,3
BEST_EFFORT,MOBILE,LOW,FILE,2
DELAY,MOBILE,LOW,FILE,1
RELIABILITY,MOBILE,LOW,FILE,4
BEST_EFFORT,MOBILE,MEDIUM,FILE,2
DELAY,MOBILE,MEDIUM,FILE,4
RELIABILITY,MOBILE,MEDIUM,FILE,4
BEST_EFFORT,MOBILE,HIGH,FILE,2
DELAY,MOBILE,HIGH,FILE,4
RELIABILITY,MOBILE,HIGH,FILE,4
BEST_EFFORT,STATIONARY,LOW,AUDIO,3
DELAY,STATIONARY,LOW,AUDIO,3
RELIABILITY,STATIONARY,LOW,AUDIO,2
BEST_EFFORT,STATIONARY,MEDIUM,AUDIO,2
DELAY,STATIONARY,MEDIUM,AUDIO,1
RELIABILITY,STATIONARY,MEDIUM,AUDIO,2
BEST_EFFORT,STATIONARY,HIGH,AUDIO,2
DELAY,STATIONARY,HIGH,AUDIO,1
RELIABILITY,STATIONARY,HIGH,AUDIO,2
BEST_EFFORT,MOBILE,LOW,AUDIO,4
DELAY,MOBILE,LOW,AUDIO,1
RELIABILITY,MOBILE,LOW,AUDIO,4
BEST_EFFORT,MOBILE,MEDIUM,AUDIO,1
DELAY,MOBILE,MEDIUM,AUDIO,2
RELIABILITY,MOBILE,MEDIUM,AUDIO,4
BEST_EFFORT,MOBILE,HIGH,AUDIO,1
DELAY,MOBILE,HIGH,AUDIO,4
RELIABILITY,MOBILE,HIGH,AUDIO,4
BEST_EFFORT,STATIONARY,LOW,VIDEO,2
DELAY,STATIONARY,LOW,VIDEO,3
RELIABILITY,STATIONARY,LOW,VIDEO,3
BEST_EFFORT,STATIONARY,MEDIUM,VIDEO,3
DELAY,STATIONARY,MEDIUM,VIDEO,2
RELIABILITY,STATIONARY,MEDIUM,VIDEO,2
BEST_EFFORT,STATIONARY,HIGH,VIDEO,2
DELAY,STATIONARY,HIGH,VIDEO,3
RELIABILITY,STATIONARY,HIGH,VIDEO,3
BEST_EFFORT,MOBILE,LOW,VIDEO,4
DELAY,MOBILE,LOW,VIDEO,4
RELIABILITY,MOBILE,LOW,VIDEO,2
BEST_EFFORT,MOBILE,MEDIUM,VIDEO,4
DELAY,MOBILE,MEDIUM,VIDEO,2
RELIABILITY,MOBILE,MEDIUM,VIDEO,4
BEST_EFFORT,MOBILE,HIGH,VIDEO,4
DELAY,MOBILE,HIGH,VIDEO,4
RELIABILITY,MOBILE,HIGH,VIDEO,4
BEST_EFFORT,STATIONARY,LOW,TEXT,2
DELAY,STATIONARY,LOW,TEXT,3
RELIABILITY,STATIONARY,LOW,TEXT,1
BEST_EFFORT,STATIONARY,MEDIUM,TEXT,1
DELAY,STATIONARY,MEDIUM,TEXT,1
RELIABILITY,STATIONARY,MEDIUM,TEXT,1
BEST_EFFORT,STATIONARY,HIGH,TEXT,1
DELAY,STATIONARY,HIGH,TEXT,1
RELIABILITY,STATIONARY,HIGH,TEXT,4
BEST_EFFORT,MOBILE,LOW,TEXT,1
DELAY,MOBILE,LOW,TEXT,1
RELIABILITY,MOBILE,LOW,TEXT,2
BEST_EFFORT,MOBILE,MEDIUM,TEXT,1
DELAY,MOBILE,MEDIUM,TEXT,4
RELIABILITY,MOBILE,MEDIUM,TEXT,2
BEST_EFFORT,MOBILE,HIGH,TEXT,1
DELAY,MOBILE,HIGH,TEXT,4
RELIABILITY,MOBILE,HIGH,TEXT,4
BEST_EFFORT,STATIONARY,LOW,FILE,2
DELAY,STATIONARY,LOW,FILE,1
RELIABILITY,STATIONARY,LOW,FILE,1
BEST_EFFORT,STATIONARY,MEDIUM,FILE,1
DELAY,STATIONARY,MEDIUM,FILE,1
RELIABILITY,STATIONARY,MEDIUM,FILE,2
BEST_EFFORT,STATIONARY,HIGH,FILE,3
DELAY,STATIONARY,HIGH,FILE,3
RELIABILITY,STATIONARY,HIGH,FILE,3
BEST_EFFORT,MOBILE,LOW,FILE,4
DELAY,MOBILE,LOW,FILE,2
RELIABILITY,MOBILE,LOW,FILE,4
BEST_EFFORT,MOBILE,MEDIUM,FILE,2
DELAY,MOBILE,MEDIUM,FILE,2
RELIABILITY,MOBILE,MEDIUM,FILE,2
BEST_EFFORT,MOBILE,HIGH,FILE,4
DELAY,MOBILE,HIGH,FILE,2
RELIABILITY,MOBILE,HIGH,FILE,4
BEST_EFFORT,STATIONARY,LOW,AUDIO,3
